CORE DATA RECORDS,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
Morbidity*,,,,,,,,,,,,,,
Records in,98075,93458,123984,"111,520","129,436",88605,63573,"134,274",82572,90981,108238,71496,,
Records loaded,98075,93458,123984,"111,519","129,435",88600,63573,"134,274",82572,90979,108237,71496,,
Records skipped,,,,1,1,5,0,0,0,2,1,0,,
Date loaded,7/01/13,5/02/13,3/04/13,2/05/13,7/06/13,9/07/13,1/08/13,5/09/13,,1/11/13,2/12/13,3/01/14,,
Sign-off,Margaret,Helen,Clinton,Helen,Margaret,Cam,Bhaval,Jenny,Bhaval,Helen,Margaret,Shane,,
Births*,,,,,,,,,,,,,,
Records in [n],3272,2907,2714,3021,3330,2611,2614,3018,2572,3224,2740,2438,,
Records loaded [n],3272,2907,2714,3021,3330,2611,2614,3018,2572,3224,2740,2438,,
Records in [c],292,290,543,258,279,275,305,317,278,296,362,234,,
Records loaded [c],292,286,248,249,279,266,281,297,244,282,347,234,,
c records also in n,0,0,284,0,0,0,0,1,0,0,0,0,,
c records pre 1945,5,4,11,8,9,9,24,19,34,14,15,11,,
Date loaded,7/02/13,5/03/13,03/04/2013 and 04/04/2013,1/05/13,5/06/13,5/07/13,6/08/13,2/09/13,2/10/13,5/11/03,3/12/13,,,
Sign-off,Mikhalina,Jenny,Mikha/Helen,Cam,Clinton,Bhaval,Margaret,Cam,Helen,Margaret,Bhaval,Bhaval (for Jenny),,
Deaths*,,,,,,,,,,,,,,
Records in [n],1062,1017,999,1165,1191,1091,1324,1244,1088,1250,1158,1035,,
Records loaded [n],1062,1017,999,1165,1191,1091,1324,1244,1088,1250,1158,1035,,
Records in [c],323,388,267,281,406,275,331,274,287,240,222,196,,
Records loaded [c],252,288,204,207,319,215,251,196,223,166,148,146,,
Records in [c] & [n] (skipped),71,100,63,74,87,60,80,78,64,74,74,50,,
Date loaded,7/02/13,5/03/13,,1/05/13,6/06/13,9/07/13,6/08/13,2/09/13,1/10/13,5/11/13,2/12/13,8/01/14,,
Sign-off,Jenny,Margaret,Mikha,Clinton,Bhaval,Jenny,Cam,Helen,Jenny,Carol,Cam,Cam,,
Marriages*,,,,,,,,,,,,,,
Records in [n],1091,859,1268,1594,1222,616,556,655,808,1523,1491,1205,,
Records loaded [n],1091,859,1268,1594,1222,616,556,655,808,1523,1491,1205,,
Records in [c],0,0,0,0,0,0,0,0,0,0,0,0, ,
Records loaded [c],0,0,0,0,0,0,0,0,0,0,0,0,,
Date loaded,8/02/13,5/03/13,4/03/13,1/05/13,5/06/13,8/07/13,6/08/13,2/09/13,8/10/13,8/11/13,3/12/13,9/01/14, ,
Sign-off,Cam,Cam,Cam,Jenny,Jenny,Helen,Clinton,Helen,Shane,Shane,Helen,Helen,,
Cancer*,,,,,,,,,,,,,,
Records in [n],1054,1553,956,2407,1368,,2325,811,761,,2217,1215,,
Records loaded [n],1054,1553,956,2407,1368,,2325,811,739*,,2217,1215,,
Records in [c],22,8,9,12,15,,10,18,12,,6,8,,
Records loaded [c],22,8,9,12,15,,10,18,12,,6,8,,
Date loaded,18/01/2013,19/02/13,14/03/13,22/05/13,21/06/13,,14/08/13,21/08/13,18/09/13,,18/11/13,16/11/13,,
Sign-off,Cam,Cam,Margaret,Cam,Cam,,Cam,Cam,Helen,,Cam,Cam,,
Electoral Roll*,,,,,,,,,,,,,,
Records in,,,,,,"74,625",,,,"201,844",,,,
Records loaded,,,,,,"74,625",,,,"201,844",,,,
Date loaded,,,,,,5/07/13,,,,16/10/13,,,,
Sign-off,,,,,,Clinton,,,,Shane,,,,
Midwives,,,,,,,,,,,,,,
record count diff.,2535,3087,2380,2187,5111,2345,3116,2995,3427,2123,2363,n/a,,
records deleted,0,0,0,0,1,12 (11 pre 2011),1,1,302,0,50 (37 pre 2011),13,,
records in n,2535,2307,2380,2187,5112,2346,3117,2996,3729,2123,2376,3047,,
records in c,456,780,247,273,464,336,298,458,120,352,166,207,,
records loaded n,2535,2307,2380,2187,5112,2346,3117,2996,3729,2123,2376,3047,,
records loaded c,456,780,247,273,464,336,298,458,120,352,166,207,,
Date loaded,05/02/2013,05/03/2013,04/04/2013,02/05/2013,05/06/2013,02/07/2013,01/08/2013,04/09/2013,03/10/2013,04/11/2013,05/12/2013,06/01/2014,,
Sign-off,Clinton,Mikha,Margaret,Margaret,Cam,Margaret,Helen,Bhaval,Margaret,Cam,Helen (for Jenny),Bhaval,,
,,,,,,,,,,,,,,
,,,births = 284 skipped records that appeared last month,,,,,*Something is not right here ,"CA = 22 skipped records, new last month",,,,,
,,,,,,, ,, , ,,,,
